title,heading,content
hak asuh anak,definisi hak asuh anak,"Hak asuh anak merupakan suatu kewajiban orang tua untuk memberikan pelayanan, melindungi, mendidik, dan mengasuh anak hingga dewasa, baik dalam masa ikatan perkawinan atau orang tua yang sudah cerai atau putus perkawinan. Hak asuh anak ini telah diatur dalam Undang-Undang perlindungan anak No 23 tahun 2020 pasal 14, yang menyatakan bahwa ""Setiap anak berhak untuk diasuh oleh orang tuanya sendiri, kecuali jika ada alasan dan/atau aturan hukum yang sah menunjukkan bahwa pemisahan itu adalah demi kepentingan terbaik bagi anak dan merupakan pertimbangan terakhir""."
hak asuh anak,definisi hak asuh anak,"Hak asuh anak terdiri dari hak asuh hukum, yaitu hak untuk mengambil keputusan tentang anak, dan hak asuh fisik, yaitu hak dan kewajiban untuk mengasuh anak. Hak asuh fisik akan menetapkan seorang anak tinggal di mana dan siapa yang memutuskan masalah sehari-hari mengenai anak tersebut. Jika orang tua memiliki hak asuh fisik atas seorang anak, maka rumah orang tua tersebut akan menjadi tempat tinggal resmi anak tersebut (domisili)."
hak asuh anak,putusan hak asuh anak,"Ketentuan kepada siapa hak asuh anak didapatkan sudah diatur dalam Putusan Nomor 55/Pdt.G/2012/Ms-Bna menyatakan hak asuh anak akan diberikan kepada ayah dan ibu, Putusan Nomor 65/Pdt.G/2011/MS-Bna dan 66/Pdt.G/2012/MS-Bna menyatakan hak asuh anak akan diberikan kepada ayah, dan Putusan Nomor 225/Pdt.G/2009/MS-BNA dan Nomor 261/Pdt.G/2010/MS-BNA menyatakan bahwa hak asuh anak akan diberikan kepada ibu."
hak asuh anak,Hak asuh anak dalam Islam,"Menurut buku Syekh Wahbah Az-Zuhai, al-Fiqh al-Islamu wa Adillatuhu, jilid 10 hal 7245, menyatakan bahwa terdapat 5 jenis hak penting yang harus didapatkan anak, yaitu hak persusuan, hak pengasuhan, hak nafkah, hak nasab, dan hak perwalian. 
Dari kelima hak tersebut, yang paling relevan dan banyak persimpangan yaitu pada hak pengasuhan, karena banyak sekali kasus perceraian dalam pernikahan. Hal tersebut berdampak sekali terhadap pemeliharaan, pendidikan, pertumbuhan, dan pengasuhan terhadap anak. Dalam Islam, istilah pengasuhan kerap disebut dengan hadhanah. Tujuan dari adanya hadhanah tersebut yaitu untuk mengatur tanggung jawab anak yang berhubungan dengan pendidikan, kehidupan, dan pertumbuhan anak setelah orang tuanya berpisah atau bercerai. Jika dalam hal perceraian tersebut hingga membuat anak terlantar dan tidak mendapatkan pengasuhan, maka anak tersebut mendapatkan kezaliman oleh orang tuanya.
Dalam Islam dijelaskan bahwa ibu lebih berhak atas pengasuhan anaknya daripada ayah karena kasih sayang luas serta kesabaran yang lebih besar dalam menanggung beban yang menyangkut pendidikan dan pengasuhan. Kemudian ibu memiliki perlakuan lebih lembut dalam menjaga dan mengasuh serta lebih mampu mencurahkan perasaan kasih sayang."
hak asuh anak,Syarat-syarat permohonan hak asuh,"Terdapat beberapa syarat dan prosedur yang harus dipenuhi ketika orang tua akan melakukan permohonan terhadap hak asuh anak, ke pengadilan negeri dan pengadilan agama. syarat yang di butuhkan, meliputi:
- surat pengajuan permohonan hak asuh ke pengadilan
- Fotocopy akta cerai
- Fotocopy akta anak
- dan Biaya Perkara"
hak asuh anak,Syarat-syarat penetapan hak asuh anak,"PERSYARATAN PENETAPAN HAK ASUH ANAK :
1. Anak Harus Punya Akte Kelahiran Dari Orang Tua Asli.
2. Pemohon Harus Sudah Pernah Mengasuh Anak Minimal 6 Bulan.
3. Melampirkan KK, KTP Orang Tua Asli (suami & Istri) dan KK, KTP Pemohon (suami & Istri).
4. Harus Mendapatkan Rekomendari Dari Dinas Sosial.
5. Melampirkan SKCK Dari Kepolisian bagi Pemohon (suami & Istri).
6. Melampirkan Surat Keterangan Sehat Dari Dokter (suami & Istri).

KETERANGAN :
• Bukti Asli Dibawa Semua
• Bukti 1, 3, 4, 5, 6 Foto Copy Dan Semua Di Segel / Dimeteraikan Di Kantor Pos.
• Foto Copy Ktp (Kartu Tanda Penduduk) 2 (Dua) Orang Saksi.
• Surat Permohonan Rangkap 2 (Dua) Asli Bermeterai Rp.6000,-
• Membebankan biaya permohonan ini kepada Pemohon sebesar Rp 256.000,00"
hak asuh anak,Penyebab Terjadinya Hak Asuh Anak,"Munculnya topik seputar hak asuh atas anak memang umumnya disebabkan karena terjadinya perceraian antara kedua orang tua anak tersebut. Sebagai orang tua, tentu keduanya ingin memperoleh hak asuh atas buah hati mereka. Jika hak asuh atas buah hatinya didapatkan, maka baik ayah atau ibu, berhak untuk tinggal bersama dengan si anak dan mengasuhnya.
Pihak yang akan mendapatkan hak asuh atas anak pun tak mutlak si ibunya. Ada beberapa kemungkinan atau hal yang membuat ayah bisa mendapatkan hak asuh atas anaknya yang masih di bawah umur. Seorang ayah tak mendapatkan hak asuh atas anaknya pun, tetap memiliki kewajiban penuh untuk menafkahi buah hatinya tersebut.
Dalam beberapa kasus tertentu, ada juga kemungkinan yang mendapatkan hak asuh atas anak adalah keluarga anak dalam garis lurus ke atas. Saudara kandung anak yang sudah berusia dewasa pun juga memiliki hak untuk mengasuh anak tersebut. Namun, pemberian hak asuh ini hanya jika kedua orang tua memang terbukti tak mampu mengasuh anaknya menurut pandangan majelis hakim. Mengenal Macam Pembagian hak Asuh Anak Mnurut Perundang-Undangan."
hak asuh anak,Hak Asuh Anak dalam Perceraian,"Selanjutnya dikenal pula istilah kuasa asuh, yakni kekuasaan orang tua untuk mengasuh, mendidik, memelihara, membina, melindungi, dan menumbuhkembangkan anak sesuai dengan agama yang dianutnya dan sesuai dengan kemampuan, bakat, serta minatnya.
Adapun salah satu masalah yang sering muncul dari perceraian adalah mengenai hak asuh anak. Siapa yang paling berhak atas hak asuh anak jika perkawinan orang tua putus karena perceraian?
Mengacu bunyi Pasal 45 ayat (2) UU Perkawinan di atas mengindikasikan bahwa kasih sayang orang tua terhadap anak tidak boleh diputus ataupun dihalang-halangi. Adanya penguasaan anak secara formil oleh salah satu pihak pada hakikatnya untuk mengakhiri sengketa perebutan anak. Apabila sengketa itu tidak diputus di pengadilan, akan menjadi berlarut-larut, sehingga dampaknya anak menjadi korban, walaupun harus diakui juga bahwa banyak sekali yang tidak mempersoalkan hak asuh anak setelah proses perceraian karena keduanya sepakat mengasuh dan mendidik anak bersama-sama."
hak asuh anak,Hak Asuh Anak dalam Perceraian,"Hal ini sejalan dengan Pasal 41 UU Perkawinan yang mengatur akibat putusnya perkawinan karena perceraian ialah:

Baik ibu atau bapak tetap berkewajiban memelihara dan mendidik anak-anaknya, semata-mata berdasarkan kepentingan anak; bilamana ada perselisihan mengenai penguasaan anak-anak, Pengadilan memberi keputusannya;
Bapak yang bertanggung jawab atas semua biaya pemeliharaan dan pendidikan yang diperlukan anak itu; bilamana bapak dalam kenyataan tidak dapat memenuhi kewajiban tersebut, Pengadilan dapat menentukan bahwa ibu ikut memikul biaya tersebut;
Pengadilan dapat mewajibkan kepada bekas suami untuk memberikan biaya penghidupan dan/atau menentukan sesuatu kewajiban bagi bekas isteri."
hak asuh anak,Hak Asuh Anak dalam Perceraian,"Mengenai hak asuh anak, UU Perkawinan tidak mengatur secara khusus siapa yang berhak mendapatkan hak asuh atas anak yang belum berusia 12 tahun. Melainkan hanya mengatur hak asuh anak pasca bercerai, kedua belah pihak tetap wajib memelihara dan mendidik anak-anaknya dan jika ada perselisihan hak asuh anak, Pengadilan yang akan memberi keputusannya."
